X frequency: 1000000
2022-07-11 15:29:15.264686086 offset: 0.001328468 
2022-07-11 15:29:15.265863279 offset: 0.001221180 
2022-07-11 15:29:15.267045856 offset: 0.001177073 
2022-07-11 15:29:15.268274403 offset: 0.001182795 
2022-07-11 15:29:15.269502767 offset: 0.001228333 
2022-07-11 15:29:15.270733280 offset: 0.001228571 
2022-07-11 15:29:15.271932000 offset: 0.001230478 
2022-07-11 15:29:15.273144686 offset: 0.001198530 
2022-07-11 15:29:15.274371043 offset: 0.001212835 
2022-07-11 15:29:15.275512225 offset: 0.001226425 
2022-07-11 15:29:15.276759472 offset: 0.001141071 
2022-07-11 15:29:15.278030225 offset: 0.001247168 
2022-07-11 15:29:15.279337514 offset: 0.001270771 
2022-07-11 15:29:15.280625231 offset: 0.001307249 
2022-07-11 15:29:15.281833471 offset: 0.001287937 
2022-07-11 15:29:15.283332136 offset: 0.001208067 
2022-07-11 15:29:15.284517994 offset: 0.001498699 
2022-07-11 15:29:15.285776574 offset: 0.001185894 
2022-07-11 15:29:15.287163576 offset: 0.001258612 
2022-07-11 15:29:15.288485609 offset: 0.001386881 
2022-07-11 15:29:15.289792624 offset: 0.001322031 
2022-07-11 15:29:15.291323605 offset: 0.001307011 
2022-07-11 15:29:15.292921988 offset: 0.001531124 
2022-07-11 15:29:15.294962895 offset: 0.001598358 
2022-07-11 15:29:15.296287772 offset: 0.002040863 
2022-07-11 15:29:15.297621426 offset: 0.001324892 
2022-07-11 15:29:15.299078547 offset: 0.001333714 
2022-07-11 15:29:15.300875577 offset: 0.001456976 
2022-07-11 15:29:15.302241536 offset: 0.001797199 
2022-07-11 15:29:15.303623343 offset: 0.001365900 
2022-07-11 15:29:15.305013922 offset: 0.001381874 
2022-07-11 15:29:15.306297516 offset: 0.001390457 
2022-07-11 15:29:15.307529268 offset: 0.001283646 
2022-07-11 15:29:15.308759436 offset: 0.001231670 
2022-07-11 15:29:15.309945258 offset: 0.001230240 
2022-07-11 15:29:15.311132295 offset: 0.001185894 
2022-07-11 15:29:15.312351583 offset: 0.001186848 
2022-07-11 15:29:15.313540653 offset: 0.001219273 
2022-07-11 15:29:15.315190116 offset: 0.001189232 
2022-07-11 15:29:15.316607793 offset: 0.001649380 
2022-07-11 15:29:15.317861441 offset: 0.001417637 
2022-07-11 15:29:15.319035319 offset: 0.001253843 
2022-07-11 15:29:15.320292820 offset: 0.001173735 
2022-07-11 15:29:15.321571765 offset: 0.001257420 
2022-07-11 15:29:15.322804400 offset: 0.001279116 
2022-07-11 15:29:15.324037956 offset: 0.001232624 
2022-07-11 15:29:15.325277154 offset: 0.001233578 
2022-07-11 15:29:15.327787818 offset: 0.001239061 
2022-07-11 15:29:15.329253975 offset: 0.002510786 
2022-07-11 15:29:15.330854611 offset: 0.001466036 
2022-07-11 15:29:15.332116052 offset: 0.001600742 
2022-07-11 15:29:15.333349815 offset: 0.001261473 
2022-07-11 15:29:15.334569721 offset: 0.001233578 
2022-07-11 15:29:15.335784469 offset: 0.001219988 
2022-07-11 15:29:15.337051250 offset: 0.001214743 
2022-07-11 15:29:15.338367087 offset: 0.001266718 
2022-07-11 15:29:15.339596884 offset: 0.001315832 
2022-07-11 15:29:15.340821668 offset: 0.001230001 
2022-07-11 15:29:15.342018974 offset: 0.001224756 
2022-07-11 15:29:15.343166020 offset: 0.001197338 
2022-07-11 15:29:15.347498530 offset: 0.001147032 
2022-07-11 15:29:15.348675117 offset: 0.004332304 
2022-07-11 15:29:15.349836830 offset: 0.001176596 
2022-07-11 15:29:15.351283163 offset: 0.001161814 
2022-07-11 15:29:15.352404236 offset: 0.001446247 
2022-07-11 15:29:15.353521476 offset: 0.001121044 
2022-07-11 15:29:15.354637942 offset: 0.001117468 
2022-07-11 15:29:15.355942458 offset: 0.001116276 
2022-07-11 15:29:15.357130274 offset: 0.001304626 
2022-07-11 15:29:15.358268766 offset: 0.001187801 
2022-07-11 15:29:15.359445090 offset: 0.001138449 
2022-07-11 15:29:15.360672240 offset: 0.001176357 
2022-07-11 15:29:15.361907749 offset: 0.001227140 
2022-07-11 15:29:15.363066234 offset: 0.001235485 
2022-07-11 15:29:15.364384406 offset: 0.001158476 
2022-07-11 15:29:15.365727873 offset: 0.001318216 
2022-07-11 15:29:15.367128252 offset: 0.001343489 
2022-07-11 15:29:15.368501577 offset: 0.001400232 
2022-07-11 15:29:15.369886420 offset: 0.001373529 
2022-07-11 15:29:15.371206006 offset: 0.001384735 
2022-07-11 15:29:15.372477177 offset: 0.001319647 
2022-07-11 15:29:15.373670128 offset: 0.001271248 
2022-07-11 15:29:15.374909821 offset: 0.001192808 
2022-07-11 15:29:15.377342342 offset: 0.001239777 
2022-07-11 15:29:15.379848462 offset: 0.002432346 
2022-07-11 15:29:15.381125586 offset: 0.002506256 
2022-07-11 15:29:15.382365219 offset: 0.001277208 
2022-07-11 15:29:15.383538486 offset: 0.001239538 
2022-07-11 15:29:15.384727067 offset: 0.001173258 
2022-07-11 15:29:15.385995706 offset: 0.001188517 
2022-07-11 15:29:15.387250273 offset: 0.001268625 
2022-07-11 15:29:15.388545855 offset: 0.001254559 
2022-07-11 15:29:15.389812818 offset: 0.001295567 
2022-07-11 15:29:15.391141201 offset: 0.001266956 
2022-07-11 15:29:15.393092922 offset: 0.001328468 
2022-07-11 15:29:15.394453593 offset: 0.001951694 
2022-07-11 15:29:15.396157708 offset: 0.001360655 
2022-07-11 15:29:15.397474880 offset: 0.001704216 
2022-07-11 15:29:15.398948130 offset: 0.001317024 
2022-07-11 15:29:15.400161028 offset: 0.001473427 
2022-07-11 15:29:15.401458916 offset: 0.001212835 
2022-07-11 15:29:15.402732875 offset: 0.001297951 
2022-07-11 15:29:15.403938190 offset: 0.001273870 
2022-07-11 15:29:15.405102454 offset: 0.001205444 
2022-07-11 15:29:15.406246584 offset: 0.001164198 
2022-07-11 15:29:15.407407244 offset: 0.001144171 
2022-07-11 15:29:15.409049756 offset: 0.001160622 
2022-07-11 15:29:15.410666643 offset: 0.001642466 
2022-07-11 15:29:15.411852843 offset: 0.001616955 
2022-07-11 15:29:15.413107255 offset: 0.001186132 
2022-07-11 15:29:15.414385119 offset: 0.001254320 
2022-07-11 15:29:15.415525711 offset: 0.001277924 
2022-07-11 15:29:15.416767071 offset: 0.001140594 
2022-07-11 15:29:15.418036655 offset: 0.001241446 
2022-07-11 15:29:15.419357398 offset: 0.001269579 
2022-07-11 15:29:15.420596863 offset: 0.001320601 
2022-07-11 15:29:15.421773539 offset: 0.001239538 
2022-07-11 15:29:15.423025176 offset: 0.001176596 
2022-07-11 15:29:15.424270211 offset: 0.001251698 
2022-07-11 15:29:15.426024684 offset: 0.001245022 
2022-07-11 15:29:15.427245733 offset: 0.001754522 
2022-07-11 15:29:15.428439096 offset: 0.001220942 
2022-07-11 15:29:15.429729132 offset: 0.001193523 
2022-07-11 15:29:15.430980754 offset: 0.001290083 
2022-07-11 15:29:15.432249107 offset: 0.001251459 
2022-07-11 15:29:15.433637093 offset: 0.001268387 
2022-07-11 15:29:15.434983418 offset: 0.001388073 
2022-07-11 15:29:15.436344469 offset: 0.001346350 
2022-07-11 15:29:15.437614627 offset: 0.001360893 
2022-07-11 15:29:15.439043742 offset: 0.001270294 
2022-07-11 15:29:15.440675851 offset: 0.001429081 
2022-07-11 15:29:15.444494291 offset: 0.001631975 
2022-07-11 15:29:15.445866814 offset: 0.003818512 
2022-07-11 15:29:15.447583916 offset: 0.001372576 
2022-07-11 15:29:15.448924220 offset: 0.001717091 
2022-07-11 15:29:15.452090084 offset: 0.001340389 
2022-07-11 15:29:15.453488253 offset: 0.003165722 
2022-07-11 15:29:15.454807032 offset: 0.001398325 
2022-07-11 15:29:15.456432421 offset: 0.001318693 
2022-07-11 15:29:15.457750872 offset: 0.001625299 
2022-07-11 15:29:15.459416707 offset: 0.001318455 
2022-07-11 15:29:15.461601045 offset: 0.001665831 
2022-07-11 15:29:15.463009685 offset: 0.002184391 
2022-07-11 15:29:15.464292798 offset: 0.001408577 
2022-07-11 15:29:15.468026276 offset: 0.001283169 
2022-07-11 15:29:15.469409229 offset: 0.003733397 
2022-07-11 15:29:15.470739953 offset: 0.001383066 
2022-07-11 15:29:15.479426492 offset: 0.001330614 
2022-07-11 15:29:15.480702692 offset: 0.008686543 
2022-07-11 15:29:15.483531462 offset: 0.001276255 
2022-07-11 15:29:15.484752654 offset: 0.002828836 
2022-07-11 15:29:15.485934942 offset: 0.001221180 
2022-07-11 15:29:15.487113802 offset: 0.001182318 
2022-07-11 15:29:15.488297287 offset: 0.001178741 
